부품ID,랙타입,부품명,규격,단가,표시명,출처,비고,카테고리
스텐랙-선반-사이즈50x90,스텐랙,선반(50x90),사이즈 50x90,0,스텐랙 선반(50) 사이즈 50x90,stainless_generated,,
스텐랙-선반-사이즈50x120,스텐랙,선반(50x120),사이즈 50x120,0,스텐랙 선반(50) 사이즈 50x120,stainless_generated,,
스텐랙-선반-사이즈50x150,스텐랙,선반(50x150),사이즈 50x150,0,스텐랙 선반(50) 사이즈 50x150,stainless_generated,,
스텐랙-선반-사이즈50x180,스텐랙,선반(50x180),사이즈 50x180,0,스텐랙 선반(50) 사이즈 50x180,stainless_generated,,
스텐랙-선반-사이즈50x210,스텐랙,선반(50x210),사이즈 50x210,0,스텐랙 선반(50) 사이즈 50x210,stainless_generated,,
중량랙-45x125선반-,중량랙,45x125 선반,,22000,중량랙 45x125 선반,extra_options,,추가상품1 (선반 추가)
중량랙-45x155선반-,중량랙,45x155 선반,,28000,중량랙 45x155 선반,extra_options,,추가상품1 (선반 추가)
중량랙-45x185선반-,중량랙,45x185 선반,,32000,중량랙 45x185 선반,extra_options,,추가상품1 (선반 추가)
중량랙-45x95선반-,중량랙,45x95 선반,,18000,중량랙 45x95 선반,extra_options,,추가상품1 (선반 추가)
중량랙-60x125선반-,중량랙,60x125 선반,,28000,중량랙 60x125 선반,extra_options,,추가상품1 (선반 추가)
중량랙-60x155선반-,중량랙,60x155 선반,,34000,중량랙 60x155 선반,extra_options,,추가상품1 (선반 추가)
중량랙-60x185선반-,중량랙,60x185 선반,,44000,중량랙 60x185 선반,extra_options,,추가상품1 (선반 추가)
중량랙-60x95선반-,중량랙,60x95 선반,,20000,중량랙 60x95 선반,extra_options,,추가상품1 (선반 추가)
중량랙-90x125선반-,중량랙,90x125 선반,,46000,중량랙 90x125 선반,extra_options,,추가상품1 (선반 추가)
중량랙-90x155선반-,중량랙,90x155 선반,,54000,중량랙 90x155 선반,extra_options,,추가상품1 (선반 추가)
중량랙-90x185선반-,중량랙,90x185 선반,,64000,중량랙 90x185 선반,extra_options,,추가상품1 (선반 추가)
중량랙-90x95선반-,중량랙,90x95 선반,,38000,중량랙 90x95 선반,extra_options,,추가상품1 (선반 추가)
중량랙-기둥-h900,중량랙,기둥(900),,5600,중량랙 기둥(900),bom_data,,
중량랙-기둥-h1200,중량랙,기둥(1200),,6600,중량랙 기둥(1200),bom_data,,
중량랙-기둥-h1500,중량랙,기둥(1500),,6600,중량랙 기둥(1500),bom_data,,
중량랙-기둥-h1800,중량랙,기둥(1800),,8000,중량랙 기둥(1800),bom_data,,
중량랙-기둥-h2100,중량랙,기둥(2100),,9000,중량랙 기둥(2100),bom_data,,
중량랙-기둥-h2400,중량랙,기둥(2400),,10000,중량랙 기둥(2400),bom_data,,
중량랙-받침상-d450,중량랙,받침(상)(450),,1050,중량랙 받침(상)(450),bom_data,,
중량랙-받침상-d600,중량랙,받침(상)(600),,1400,중량랙 받침(상)(600),bom_data,,
중량랙-받침상-d900,중량랙,받침(상)(900),,1700,중량랙 받침(상)(900),bom_data,,
중량랙-받침하-d450,중량랙,받침(하)(450),,1050,중량랙 받침(하)(450),bom_data,,
중량랙-받침하-d600,중량랙,받침(하)(600),,1400,중량랙 받침(하)(600),bom_data,,
중량랙-받침하-d900,중량랙,받침(하)(900),,1700,중량랙 받침(하)(900),bom_data,,
중량랙-선반-w900xd450,중량랙,선반(900*450),,7000,중량랙 선반(900*450),bom_data,,
중량랙-선반-w900xd600,중량랙,선반(900*600),,9700,중량랙 선반(900*600),bom_data,,
중량랙-선반-w900xd900,중량랙,선반(900*900),,13600,중량랙 선반(900*900),bom_data,,
중량랙-선반-w1200xd450,중량랙,선반(1200*450),,9300,중량랙 선반(1200*450),bom_data,,
중량랙-선반-w1200xd600,중량랙,선반(1200*600),,13600,중량랙 선반(1200*600),bom_data,,
중량랙-선반-w1200xd900,중량랙,선반(1200*900),,15000,중량랙 선반(1200*900),bom_data,,
중량랙-선반-w1500xd450,중량랙,선반(1500*450),,12000,중량랙 선반(1500*450),bom_data,,
중량랙-선반-w1500xd600,중량랙,선반(1500*600),,13600,중량랙 선반(1500*600),bom_data,,
중량랙-선반-w1500xd900,중량랙,선반(1500*900),,15000,중량랙 선반(1500*900),bom_data,,
중량랙-선반-w1800xd450,중량랙,선반(1800*450),,11000,중량랙 선반(1800*450),bom_data,,
중량랙-선반-w1800xd600,중량랙,선반(1800*600),,15000,중량랙 선반(1800*600),bom_data,,
중량랙-선반-w1800xd900,중량랙,선반(1800*900),,18000,중량랙 선반(1800*900),bom_data,,
중량랙-안전좌-,중량랙,안전좌,,500,중량랙 안전좌,bom_data,,
중량랙-안전핀-,중량랙,안전핀,,100,중량랙 안전핀,bom_data,,
중량랙-연결대-w900,중량랙,연결대,900,3000,중량랙 연결대,bom_data,,
중량랙-연결대-w1200,중량랙,연결대,1200,3000,중량랙 연결대,bom_data,,
중량랙-연결대-w1500,중량랙,연결대,1500,3000,중량랙 연결대,bom_data,,
중량랙-연결대-w1800,중량랙,연결대,1800,3000,중량랙 연결대,bom_data,,
